ticket,order,time,time_msc,type,entry,magic,position_id,reason,volume,price,commission,swap,profit,fee,symbol,comment,external_id
627280379,0,1744913343,1744913343222,2,0,0,0,0,0.0,0.0,0.0,0.0,500.0,0.0,,D-trial-USD-INT-f96d6738bebe,
627282490,673181062,1744913385,1744913385862,0,0,0,673181062,0,1.0,142.683,0.0,0.0,0.0,0.0,USDJPY,,
627283829,673182481,1744913420,1744913420930,1,1,0,673181062,0,1.0,142.661,0.0,0.0,-15.42,0.0,USDJPY,,
627834515,0,1744959184,1744959184590,2,0,0,0,0,0.0,0.0,0.0,0.0,9515.42,0.0,,D-trial-USD-INT-fe0d6e12c305,
628446327,674367655,1745000354,1745000354942,0,0,0,674367655,0,0.5,188.93,0.0,0.0,0.0,0.0,GBPJPY,,
628446350,674367677,1745000360,1745000360594,1,0,0,674367677,0,0.5,188.763,0.0,0.0,0.0,0.0,GBPJPY,,
628446354,674367681,1745000361,1745000361344,0,0,0,674367681,0,0.5,188.929,0.0,0.0,0.0,0.0,GBPJPY,,
628446355,674367682,1745000361,1745000361861,1,0,0,674367682,0,0.5,188.762,0.0,0.0,0.0,0.0,GBPJPY,,
628446356,674367683,1745000362,1745000362426,0,0,0,674367683,0,0.5,188.926,0.0,0.0,0.0,0.0,GBPJPY,,
628446357,674367684,1745000362,1745000362867,1,0,0,674367684,0,0.5,188.759,0.0,0.0,0.0,0.0,GBPJPY,,
628446362,674367691,1745000364,1745000364272,1,1,0,674367655,0,0.5,188.76,0.0,0.0,-59.8,0.0,GBPJPY,,
628446365,674367693,1745000364,1745000364524,0,1,0,674367677,0,0.5,188.926,0.0,0.0,-57.33,0.0,GBPJPY,,
628446366,674367695,1745000364,1745000364875,1,1,0,674367681,0,0.5,188.76,0.0,0.0,-59.44,0.0,GBPJPY,,
628446506,674367841,1745000382,1745000382518,0,1,0,674367682,0,0.32,188.926,0.0,0.0,-36.92,0.0,GBPJPY,,
628446590,674367927,1745000392,1745000392960,1,1,0,674367683,0,0.45,188.771,0.0,0.0,-49.07,0.0,GBPJPY,,
628446607,674367948,1745000397,1745000397276,0,1,0,674367682,0,0.18,188.933,0.0,0.0,-21.65,0.0,GBPJPY,,
628446612,674367954,1745000398,1745000398413,1,1,0,674367683,0,0.05,188.77,0.0,0.0,-5.49,0.0,GBPJPY,,
628446617,674367960,1745000398,1745000398983,0,1,0,674367684,0,0.5,188.938,0.0,0.0,-62.96,0.0,GBPJPY,,
628448288,674369608,1745000507,1745000507214,0,0,0,674369608,0,0.5,188.938,0.0,0.0,0.0,0.0,GBPJPY,,
631809037,677921696,1745210178,1745210178839,1,1,0,674369608,0,0.5,188.553,0.0,0.0,-136.6,0.0,GBPJPY,,
638670431,684866788,1745315453,1745315453254,0,0,12345,684866788,3,0.1,1.14991,0.0,0.0,0.0,0.0,EURUSD,Python Script,
638671375,684867684,1745315468,1745315468757,1,1,0,684866788,0,0.1,1.14978,0.0,0.0,-1.3,0.0,EURUSD,,
643737232,690017864,1745384749,1745384749215,1,0,0,690017864,3,0.01,1.1388,0.0,0.0,0.0,0.0,EURUSD,Bearish Engulfing,
648290062,694713610,1745433349,1745433349929,0,1,0,690017864,0,0.01,1.13178,0.0,0.0,7.02,0.0,EURUSD,,
650269557,696853499,1745476660,1745476660924,0,0,0,696853499,0,1.25,1.13545,0.0,0.0,0.0,0.0,EURUSD,,
650269755,696853721,1745476663,1745476663757,1,1,0,696853499,0,1.25,1.1353900000000001,0.0,0.0,-7.5,0.0,EURUSD,,
650271081,696855190,1745476679,1745476679492,0,0,0,696855190,0,1.25,1.13535,0.0,0.0,0.0,0.0,EURUSD,,
650271183,696855299,1745476680,1745476680910,1,0,0,696855299,0,1.25,1.13534,0.0,0.0,0.0,0.0,EURUSD,,
650271526,696855649,1745476682,1745476682797,0,0,0,696855649,0,1.25,1.13541,0.0,0.0,0.0,0.0,EURUSD,,
650271892,696855978,1745476683,1745476683748,1,0,0,696855978,0,1.25,1.13535,0.0,0.0,0.0,0.0,EURUSD,,
650273399,696857665,1745476707,1745476707350,1,1,0,696855190,0,1.25,1.13501,0.0,0.0,-42.5,0.0,EURUSD,,
650275606,696860047,1745476737,1745476737318,1,1,0,696855649,0,1.25,1.135,0.0,0.0,-51.25,0.0,EURUSD,,
650275696,696860148,1745476738,1745476738973,0,1,0,696855299,0,1.25,1.13508,0.0,0.0,32.5,0.0,EURUSD,,
650275741,696860202,1745476740,1745476740165,0,1,0,696855978,0,1.25,1.13507,0.0,0.0,35.0,0.0,EURUSD,,
